iter	RMSE
0	12.7462887
1	12.71347019
2	12.62028242
3	12.56136164
4	12.4572708
5	12.39038106
6	12.34650074
7	12.26874334
8	12.20756586
9	12.12760685
10	12.06325847
11	12.00108745
12	11.88232504
13	11.81933434
14	11.76753839
15	11.69054288
16	11.63437206
17	11.5333674
18	11.46519553
19	11.3990128
20	11.3486426
21	11.27140197
22	11.18694289
23	11.12398143
24	11.07335845
25	10.98803872
26	10.96153138
27	10.90790147
28	10.84663121
29	10.78894885
30	10.72957163
31	10.67064954
32	10.60784816
33	10.56074195
34	10.48885124
35	10.43290734
36	10.38952913
37	10.35189154
38	10.32094015
39	10.25465903
40	10.19116079
41	10.14138954
42	10.09033829
43	10.03398399
44	9.974250585
45	9.905415401
46	9.858064006
47	9.806683054
48	9.781425656
49	9.726588498
50	9.649891504
51	9.603896547
52	9.54479659
53	9.515299668
54	9.486778384
55	9.431842619
56	9.383233259
57	9.324816348
58	9.266659697
59	9.209185691
60	9.16933964
61	9.09753734
62	9.058799755
63	9.009446566
64	8.976316695
65	8.941560019
66	8.882163933
67	8.804784841
68	8.755824182
69	8.70215597
70	8.643366139
71	8.593954335
72	8.545758078
73	8.482131698
74	8.46880066
75	8.405943752
76	8.35955363
77	8.305804996
78	8.256148661
79	8.188882222
80	8.133190864
81	8.078790581
82	8.056004162
83	8.014008079
84	7.965661354
85	7.916829342
86	7.894049944
87	7.83060917
88	7.787650812
89	7.746247334
90	7.703172077
91	7.649351377
92	7.604177656
93	7.564005546
94	7.520672422
95	7.477638211
96	7.445515596
97	7.409826093
98	7.365932252
99	7.321749582
100	7.281822537
101	7.228259894
102	7.192276376
103	7.161504083
104	7.107024274
105	7.075742121
106	7.012639695
107	6.969692345
108	6.933561977
109	6.899484776
110	6.853797047
111	6.816101132
112	6.781389525
113	6.746439939
114	6.696045687
115	6.660633948
116	6.641408318
117	6.600426819
118	6.57402332
119	6.526872472
120	6.490171956
121	6.452762502
122	6.417849416
123	6.365151202
124	6.312513647
125	6.274845366
126	6.238474182
127	6.206322645
128	6.172406317
129	6.13414571
130	6.0966638
131	6.06163266
132	6.025269578
133	5.988125848
134	5.959435614
135	5.928089972
136	5.894722988
137	5.860672732
138	5.826664319
139	5.795985628
140	5.766114567
141	5.732675159
142	5.693586423
143	5.642848789
144	5.602640561
145	5.57127897
146	5.540146997
147	5.511165101
148	5.478713549
149	5.448915936
150	5.418989425
151	5.382280857
152	5.349852707
153	5.319208631
154	5.287336031
155	5.258279663
156	5.231303651
157	5.201155705
158	5.167634776
159	5.136652267
160	5.108756546
161	5.082035854
162	5.049921494
163	5.024278335
164	4.985953864
165	4.95854056
166	4.926110952
167	4.904556329
168	4.870768352
169	4.844255802
170	4.818956251
171	4.793995935
172	4.766800379
173	4.738664815
174	4.707942762
175	4.668105112
176	4.642122906
177	4.615276661
178	4.590655118
179	4.566713396
180	4.542795583
181	4.51891427
182	4.491963737
183	4.465074074
184	4.438985581
185	4.415365675
186	4.390993978
187	4.368123326
188	4.33749325
189	4.314970825
190	4.290447941
191	4.267654992
192	4.245577181
193	4.222034948
194	4.193852614
195	4.168267495
196	4.143675375
197	4.121651432
198	4.097166813
199	4.074669744
200	4.054286515
201	4.033391735
202	4.011650468
203	3.99098429
204	3.968784337
205	3.948330214
206	3.922680006
207	3.902476967
208	3.880505471
209	3.859618638
210	3.837080919
211	3.817242553
212	3.797184017
213	3.776990149
214	3.754914088
215	3.735562199
216	3.711022997
217	3.691897312
218	3.672716022
219	3.653597441
220	3.632561103
221	3.613826879
222	3.593861597
223	3.574589678
224	3.556166437
225	3.535849921
226	3.517577934
227	3.495946475
228	3.471630399
229	3.453072578
230	3.435276305
231	3.41757175
232	3.399833109
233	3.381871553
234	3.364399398
235	3.346938842
236	3.322212054
237	3.304974009
238	3.287900083
239	3.270955068
240	3.253983833
241	3.23640292
242	3.219723308
243	3.20302169
244	3.186332573
245	3.169872633
246	3.153535902
247	3.137228156
248	3.121013332
249	3.104991958
250	3.088989605
251	3.072530802
252	3.056662383
253	3.040813466
254	3.024797652
255	3.009208601
256	2.993607238
257	2.978178934
258	2.962485225
259	2.94718614
260	2.931997079
261	2.9168561
262	2.901793966
263	2.886356397
264	2.871452557
265	2.856569539
266	2.841547557
267	2.82687573
268	2.812224987
269	2.797650782
270	2.783206237
271	2.768836874
272	2.754546764
273	2.740272154
274	2.725860206
275	2.711735532
276	2.697684616
277	2.683757872
278	2.66985249
279	2.656069997
280	2.642381276
281	2.628741153
282	2.615171994
283	2.601622537
284	2.588193913
285	2.574736826
286	2.561398848
287	2.54819315
288	2.535035286
289	2.521951507
290	2.508935787
291	2.495987772
292	2.483107107
293	2.470293439
294	2.45754642
295	2.44488084
296	2.432280536
297	2.419730186
298	2.407245112
299	2.394824973
300	2.382379823
301	2.37008977
302	2.357857171
303	2.345705365
304	2.333616186
305	2.321577257
306	2.309552493
307	2.297646184
308	2.285793367
309	2.274012959
310	2.262282549
311	2.250613417
312	2.239011118
313	2.227462092
314	2.215973122
315	2.204552551
316	2.19317796
317	2.181818663
318	2.170565614
319	2.159379062
320	2.148242435
321	2.137170931
322	2.126145526
323	2.115177847
324	2.104270515
325	2.093425631
326	2.082634269
327	2.071895266
328	2.061214956
329	2.050584108
330	2.040011301
331	2.029493466
332	2.019031944
333	2.008620779
334	1.998265551
335	1.987961889
336	1.97771388
337	1.96751672
338	1.957372914
339	1.947282179
340	1.93724486
341	1.927260027
342	1.917325789
343	1.907441116
344	1.897611008
345	1.88782992
346	1.878100392
347	1.868418611
348	1.858790751
349	1.849208921
350	1.83968074
351	1.830202091
352	1.820768289
353	1.811383557
354	1.802050683
355	1.792767045
356	1.783526749
357	1.774339013
358	1.765194514
359	1.756101172
360	1.747055545
361	1.738050997
362	1.729098621
363	1.720186684
364	1.711320683
365	1.702506649
366	1.693738435
367	1.685015801
368	1.676331194
369	1.667691351
370	1.659096043
371	1.650552347
372	1.642053064
373	1.633589977
374	1.625172446
375	1.616796388
376	1.608463504
377	1.600173571
378	1.591934498
379	1.583729797
380	1.575567386
381	1.567447048
382	1.559368565
383	1.551340142
384	1.543344715
385	1.535399168
386	1.527485938
387	1.519613496
388	1.51178163
389	1.503990132
390	1.496238794
391	1.488527409
392	1.480855771
393	1.473223675
394	1.465630916
395	1.458077293
396	1.450562604
397	1.44309552
398	1.435658083
399	1.42825898
400	1.420898015
401	1.41357499
402	1.40628971
403	1.399041981
404	1.391831608
405	1.384658399
406	1.377522164
407	1.37042271
408	1.363359848
409	1.356333391
410	1.34934315
411	1.342388938
412	1.33547057
413	1.328587862
414	1.321740628
