iter	Passed	Remaining
0	50	50419
1	50	25282
2	50	16871
3	51	12702
4	51	10180
5	51	8501
6	51	7326
7	51	6429
8	52	5733
9	52	5174
10	52	4722
11	52	4338
12	52	4006
13	52	3729
14	53	3485
15	53	3276
16	53	3090
17	53	2924
18	53	2775
19	53	2645
20	54	2527
21	54	2416
22	54	2316
23	54	2223
24	54	2138
25	54	2059
26	55	1986
27	55	1919
28	55	1856
29	55	1796
30	55	1741
31	55	1689
32	56	1641
33	56	1597
34	56	1555
35	56	1514
36	56	1477
37	56	1440
38	56	1404
39	57	1371
40	57	1340
41	57	1309
42	57	1281
43	57	1254
44	57	1228
45	58	1204
46	58	1179
47	58	1155
48	58	1134
49	58	1113
50	58	1091
51	58	1072
52	58	1053
53	59	1035
54	59	1017
55	59	1001
56	59	985
57	59	970
58	59	955
59	60	940
60	60	926
61	60	911
62	60	897
63	60	885
64	60	872
65	60	860
66	60	848
67	61	836
68	61	825
69	61	814
70	61	803
71	61	793
72	61	783
73	61	774
74	61	764
75	62	755
76	62	746
77	62	737
78	62	729
79	62	721
80	62	713
81	63	705
82	63	697
83	63	690
84	63	683
85	63	676
86	63	669
87	63	662
88	64	655
89	64	649
90	64	642
91	64	636
92	64	629
93	64	624
94	64	618
95	65	612
96	65	606
97	65	601
98	65	595
99	65	590
100	65	584
101	65	580
102	66	575
103	66	570
104	66	565
105	66	560
106	66	555
107	66	550
108	66	545
109	66	541
110	67	537
111	67	532
112	67	528
113	67	524
114	67	520
115	67	516
116	67	512
117	68	508
118	68	504
119	68	500
120	68	497
121	68	493
122	68	489
123	68	485
124	68	482
125	69	479
126	69	476
127	69	472
128	69	470
129	69	467
130	69	463
131	70	460
132	70	458
133	70	454
134	70	452
135	70	449
136	70	446
137	71	443
138	71	441
139	71	438
140	71	436
141	71	433
142	71	430
143	71	427
144	72	425
145	72	422
146	72	420
147	72	418
148	72	416
149	73	413
150	73	411
151	73	409
152	73	406
153	73	404
154	73	402
155	74	400
156	74	398
157	74	396
158	74	394
159	74	392
160	74	390
161	75	388
162	75	385
163	75	383
164	75	381
165	75	379
166	75	377
167	75	375
168	75	373
169	76	371
170	76	370
171	76	368
172	76	366
173	76	365
174	77	363
175	77	361
176	77	359
177	77	357
178	77	356
179	77	354
180	78	353
181	78	351
182	78	349
183	78	348
184	78	346
185	78	345
186	79	343
187	79	342
188	79	340
189	79	338
190	79	337
191	79	335
192	79	334
193	80	333
194	80	331
195	80	330
196	80	328
197	80	327
198	81	326
199	81	324
200	81	323
201	81	322
202	81	321
203	81	319
204	82	318
205	82	317
206	82	315
207	82	314
208	82	313
209	83	312
210	83	311
211	83	309
212	83	308
213	83	308
