draw_number,draw_date,pool_gbp,rollover_count
3179,2026-06-10,2000000.0,1
3180,2026-06-13,3681650.35,2
3181,2026-06-17,4706314.26,3
3182,2026-06-20,6348233.89,4
3183,2026-06-24,7357143.97,5
3184,2026-06-27,9269710.37,
3185,2026-07-01,2000000.0,1
3186,2026-07-04,4061212.99,2
3187,2026-07-08,5043330.86,3
3188,2026-07-11,6643227.67,4
3189,2026-07-15,7663813.88,5
3190,2026-07-18,9559451.1,0
3191,2026-07-22,2000000.0,1
3192,2026-07-25,3492117.23,2
3193,2026-07-29,4404668.12,3
3194,2026-08-01,5920669.35,4
3195,2026-08-05,6855189.0,5
3196,2026-08-08,8535147.0,
3197,2026-08-12,2000000.0,1
3198,2026-08-15,3452542.8,2
3199,2026-08-19,4354203.25,
3200,2026-08-22,2000000.0,1
3201,2026-08-26,2865432.72,2
3202,2026-08-29,4349673.92,3
3203,2026-09-02,5255577.24,4
