Draw Date,Main_Numbers,Bonus,Jackpot,Winners
,"[11, 17, 22, 41, 49, 54]",4,33.0,0
,"[6, 20, 36, 43, 52, 53]",50,15.0,0
,"[14, 19, 28, 33, 53, 57]",29,495.0,1
,"[7, 15, 20, 21, 54, 58]",41,998.0,3
,"[3, 9, 32, 37, 38, 46]",1,401.0,1
,"[3, 26, 39, 43, 44, 53]",59,415.0,3
,"[12, 21, 22, 27, 35, 55]",49,60.0,20
,"[21, 33, 36, 52, 54, 59]",7,795.0,5
,"[16, 23, 24, 42, 49, 57]",25,869.0,3
,"[1, 12, 19, 25, 46, 54]",22,760.0,5
,"[17, 18, 26, 27, 54, 56]",15,786.0,3
,"[9, 22, 31, 38, 50, 57]",36,715.0,5
,"[3, 6, 17, 26, 39, 43]",30,251.0,3
,"[20, 32, 46, 49, 54, 57]",14,262.0,1
,"[11, 28, 37, 44, 49, 58]",35,200.0,10
,"[9, 25, 29, 55, 57, 59]",42,536.0,8
,"[7, 20, 26, 43, 55, 59]",12,292.0,0
,"[11, 16, 21, 29, 45, 48]",50,556.0,7
,"[5, 24, 25, 38, 40, 52]",1,36.0,4
,"[1, 17, 18, 27, 33, 52]",10,650.0,5
,"[2, 7, 17, 35, 45, 48]",8,276.0,0
,"[6, 13, 31, 44, 48, 51]",36,50.0,2
,"[22, 25, 40, 43, 45, 46]",12,276.0,3
,"[11, 18, 21, 32, 45, 47]",38,976.0,4
,"[3, 4, 8, 10, 34, 57]",15,676.0,4
,"[3, 18, 19, 37, 58, 59]",39,838.0,1
,"[1, 4, 9, 14, 34, 55]",31,765.0,0
,"[24, 28, 34, 40, 42, 58]",51,801.0,1
,"[8, 13, 31, 36, 39, 56]",16,834.0,7
,"[22, 27, 28, 32, 40, 41]",19,829.0,1
,"[1, 11, 25, 37, 46, 53]",29,358.0,0
,"[13, 40, 42, 45, 46, 49]",32,853.0,3
,"[1, 2, 29, 50, 51, 53]",37,258.0,0
,"[2, 20, 44, 49, 51, 56]",38,354.0,3
,"[6, 20, 22, 41, 52, 59]",46,245.0,3
,"[3, 5, 31, 34, 53, 54]",12,650.0,14
,"[3, 10, 15, 25, 26, 41]",9,300.0,0
,"[18, 30, 36, 43, 44, 50]",52,624.0,4
,"[13, 15, 25, 30, 34, 39]",56,641.0,3
,"[13, 16, 21, 31, 36, 40]",2,424.0,2
