Draw Date,Number_1,Number_2,Number_3,Number_4,Number_5,Number_6,Bonus,Jackpot,JackpotWins,Machine,Ball Set,DrawNumber,Round
1994-11-19,3,5,14,22,30,44,10,839254.0,7,Guinevere,A,1,1
1994-11-26,6,12,15,16,31,44,37,1760966.0,4,Arthur,B,2,1
1994-12-03,11,17,21,29,30,40,31,6906572.0,0,Arthur,B,3,1
1994-12-10,26,35,38,43,47,49,28,17880003.0,1,Guinevere,B,4,1
1994-12-17,3,5,9,13,14,38,30,3403310.0,2,Arthur,A,5,1
1994-12-24,2,3,27,29,39,44,6,7789557.0,1,Arthur,B,6,1
1994-12-31,9,17,32,36,42,44,16,6554085.0,1,Arthur,B,7,1
1995-01-07,2,5,21,22,25,32,46,10000000.0,0,Arthur,B,8,1
1995-01-14,7,17,23,32,38,42,48,122510.0,133,Guinevere,1,9,1
1995-01-21,6,16,20,30,31,47,4,1373571.0,7,Guinevere,4,10,1
1995-01-28,4,16,25,26,31,43,21,2293628.0,4,Arthur,3,11,1
1995-02-04,1,7,37,38,42,46,20,10350387.0,1,Arthur,2,12,1
1995-02-11,15,18,29,35,38,48,5,9015108.0,1,Arthur,5,13,1
1995-02-18,16,19,21,29,36,45,43,987022.0,9,Guinevere,4,14,1
1995-02-25,5,8,10,18,31,33,28,7056280.0,1,Guinevere,7,15,1
1995-03-04,11,12,17,26,36,42,13,8807149.0,1,Arthur,8,16,1
1995-03-11,2,13,22,27,29,46,36,6527880.0,2,Guinevere,7,17,1
1995-03-18,9,18,19,24,31,41,21,3987786.0,2,Guinevere,4,18,1
1995-03-25,4,17,41,42,44,49,24,10162332.0,0,Guinevere,2,19,1
1995-04-01,22,25,30,32,41,43,29,11135712.0,2,Lancelot,6,20,1
1995-04-08,14,17,22,24,42,47,34,2691547.0,3,Lancelot,8,21,1
1995-04-15,1,4,6,23,26,49,8,2442406.0,4,Arthur,7,22,1
1995-04-22,8,18,20,33,36,38,46,8554300.0,0,Arthur,8,23,1
1995-04-29,9,15,22,31,34,48,23,1355975.0,14,Arthur,6,24,1
1995-05-06,5,14,17,35,43,48,22,3097415.0,3,Lancelot,4,25,1
1995-05-13,7,16,25,26,28,41,19,2842118.0,3,Arthur,2,26,1
1995-05-20,15,16,17,28,32,46,22,9467258.0,0,Lancelot,6,27,1
1995-05-27,12,13,25,37,44,45,9,6624951.0,3,Arthur,8,28,1
1995-06-03,1,21,29,31,32,40,27,10326358.0,0,Arthur,4,29,1
1995-06-10,12,15,26,44,46,49,14,22590829.0,1,Guinevere,1,30,1
1995-06-17,27,30,33,38,40,48,2,1481262.0,7,Guinevere,2,31,1
1995-06-24,5,15,21,42,43,45,20,9896801.0,1,Arthur,2,32,1
1995-07-01,5,7,8,25,44,48,3,8849765.0,0,Arthur,8,33,1
1995-07-08,1,3,11,14,20,40,45,20088838.0,1,Arthur,4,34,1
1995-07-15,1,4,20,31,41,43,38,2803919.0,4,Arthur,6,35,1
1995-07-22,2,3,21,22,23,40,24,2501994.0,4,Guinevere,2,36,1
1995-07-29,28,34,41,45,46,49,11,3791092.0,3,Arthur,7,37,1
1995-08-05,1,8,25,30,35,45,15,5128025.0,2,Guinevere,8,38,1
1995-08-12,11,25,28,33,34,47,48,9923276.0,0,Guinevere,4,39,1
1995-08-19,5,8,23,24,28,48,19,3822330.0,5,Guinevere,8,40,1
1995-08-26,16,18,21,27,38,41,26,2234759.0,4,Arthur,2,41,1
1995-09-02,1,15,22,28,40,49,44,1420508.0,7,Guinevere,7,42,1
1995-09-09,2,12,20,22,41,45,47,9682292.0,0,Guinevere,4,43,1
1995-09-16,2,10,14,25,37,41,5,2681192.0,8,Arthur,2,44,1
1995-09-23,5,10,19,24,34,46,28,963820.0,10,Guinevere,4,45,1
1995-09-30,10,11,29,32,33,40,16,9981262.0,1,Lancelot,8,46,1
1995-10-07,10,22,28,30,36,37,45,3089417.0,3,Guinevere,7,47,1
1995-10-14,4,5,9,25,30,47,17,1891543.0,5,Lancelot,8,48,1
1995-10-21,2,6,17,19,21,47,5,2991262.0,3,Guinevere,2,49,1
1995-10-28,7,16,27,33,35,44,5,1594352.0,5,Lancelot,6,50,1
1995-11-04,6,14,18,27,44,48,1,2798623.0,3,Lancelot,7,51,1
1995-11-11,7,10,23,28,30,48,3,1700159.0,5,Guinevere,3,52,1
1995-11-18,4,7,18,33,45,48,1,425503.0,20,Lancelot,5,53,1
1995-11-25,16,23,28,30,42,46,45,3338805.0,3,Guinevere,6,54,1
1995-12-02,15,16,19,26,35,46,7,10613401.0,1,Lancelot,2,55,1
1995-12-09,5,11,12,26,29,33,20,2704666.0,3,Lancelot,3,56,1
1995-12-16,7,8,23,28,35,49,10,8214495.0,1,Lancelot,6,57,1
1995-12-23,6,11,34,40,47,49,16,11730015.0,0,Lancelot,2,58,1
1995-12-30,6,32,39,42,43,45,36,23966033.0,0,Guinevere,4,59,1
1996-01-06,2,3,4,13,42,44,24,14002870.0,3,Lancelot,7,60,1
1996-01-13,21,29,31,32,34,48,25,12537861.0,0,Guinevere,6,61,1
1996-01-20,5,23,25,30,33,37,3,23851380.0,0,Lancelot,3,62,1
1996-01-27,16,17,38,41,42,43,28,10055900.0,4,Guinevere,8,63,1
1996-02-03,2,9,22,26,32,44,40,1625476.0,6,Lancelot,2,64,1
1996-02-10,4,11,14,15,28,42,6,1549049.0,6,Lancelot,7,65,1
1996-02-17,4,14,15,16,18,22,33,2064154.0,5,Lancelot,4,66,1
1996-02-24,2,5,7,24,35,44,30,2237965.0,4,Guinevere,8,67,1
1996-03-02,9,11,12,24,41,45,6,5222976.0,2,Guinevere,3,68,1
1996-03-09,14,16,29,30,37,45,7,1325202.0,8,Guinevere,2,69,1
1996-03-16,2,12,19,28,38,48,45,145859.0,57,Guinevere,8,70,1
1996-03-23,5,7,14,18,30,43,28,877907.0,9,Guinevere,7,71,1
1996-03-30,12,26,27,28,37,49,43,10279220.0,0,Arthur,6,72,1
1996-04-06,1,4,6,14,17,38,9,4245315.0,5,Arthur,8,73,1
1996-04-13,23,38,40,44,47,49,12,3836607.0,3,Guinevere,6,74,1
1996-04-20,9,28,29,31,40,48,23,5185306.0,2,Arthur,7,75,1
1996-04-27,4,6,11,18,31,48,41,9217249.0,0,Arthur,2,76,1
1996-05-04,6,25,26,33,34,47,49,10903198.0,2,Arthur,4,77,1
1996-05-11,7,10,12,22,34,48,11,1115190.0,8,Arthur,8,78,1
1996-05-18,4,12,13,33,40,46,41,10248233.0,1,Guinevere,6,79,1
1996-05-25,8,20,26,34,42,43,25,2054754.0,5,Arthur,7,80,1
1996-06-01,24,35,36,37,39,45,20,5828608.0,2,Arthur,2,81,1
1996-06-08,11,15,17,25,32,46,29,4907708.0,2,Arthur,4,82,1
1996-06-15,13,18,25,44,46,47,34,10524718.0,0,Arthur,7,83,1
1996-06-22,3,4,7,11,17,40,20,2159561.0,9,Lancelot,7,84,1
1996-06-29,4,17,27,34,35,46,7,5212073.0,2,Lancelot,6,85,1
1996-07-06,13,26,43,44,45,47,36,11124766.0,0,Lancelot,8,86,1
1996-07-13,5,10,11,12,41,42,2,1825101.0,12,Arthur,1,87,1
1996-07-20,6,14,20,25,34,44,45,1426747.0,7,Arthur,3,88,1
1996-07-27,2,13,19,21,32,45,9,2403240.0,4,Guinevere,2,89,1
1996-08-03,13,17,26,28,31,36,44,2430398.0,4,Lancelot,4,90,1
1996-08-10,3,23,36,38,41,45,44,5275991.0,2,Lancelot,7,91,1
1996-08-17,2,28,33,39,42,44,46,8944124.0,1,Lancelot,5,92,1
1996-08-24,8,11,14,18,33,44,34,1095100.0,7,Guinevere,1,93,1
1996-08-31,3,5,14,27,44,47,43,1217493.0,7,Guinevere,3,94,1
1996-09-07,5,13,15,18,32,44,41,1626411.0,5,Guinevere,6,95,1
1996-09-14,2,9,10,11,38,48,1,1955576.0,5,Lancelot,2,96,1
1996-09-21,7,8,12,30,35,41,47,10101049.0,1,Guinevere,7,97,1
1996-09-28,19,23,26,31,36,39,3,2657056.0,4,Guinevere,3,98,1
1996-10-05,6,9,25,45,47,48,14,5439681.0,2,Lancelot,2,99,1
1996-10-12,15,16,25,30,39,45,14,10679645.0,1,Lancelot,1,100,1
1996-10-19,10,13,31,34,39,48,33,11100495.0,0,Guinevere,4,101,1
1996-10-26,1,3,9,20,30,35,36,3360982.0,7,Guinevere,6,102,1
1996-11-02,7,23,32,35,43,48,25,860652.0,11,Lancelot,3,103,1
1996-11-09,8,24,27,41,43,49,5,3487052.0,3,Lancelot,2,104,1
1996-11-16,1,5,16,18,37,42,24,5522131.0,4,Guinevere,5,105,1
1996-11-23,16,33,34,43,46,49,47,11713905.0,1,Lancelot,4,106,1
1996-11-30,4,5,12,25,26,49,48,3213822.0,3,Guinevere,6,107,1
1996-12-07,6,13,17,22,42,47,30,2239449.0,4,Lancelot,1,108,1
1996-12-14,12,24,33,34,42,47,44,1302249.0,7,Guinevere,4,109,1
1996-12-21,5,26,35,38,42,45,46,10333522.0,1,Lancelot,7,110,1
1996-12-28,8,10,20,27,31,39,30,1225265.0,8,Lancelot,3,111,1
1997-01-04,11,13,14,27,40,41,23,1016676.0,10,Lancelot,1,112,1
1997-01-11,4,11,16,18,35,43,39,1964980.0,5,Arthur,3,113,1
1997-01-18,3,21,22,26,31,48,43,3512275.0,3,Arthur,2,114,1
1997-01-25,1,24,28,31,35,47,9,11407818.0,0,Lancelot,6,115,1
1997-02-01,12,16,20,28,36,48,34,2512517.0,9,Arthur,1,116,1
1997-02-05,9,25,28,29,31,35,37,3333333.0,3,Lancelot,4,117,1
1997-02-08,9,13,27,30,36,47,15,2208421.0,4,Arthur,6,118,1
1997-02-12,5,14,23,29,38,45,47,555556.0,18,Arthur,5,119,1
1997-02-15,7,14,21,34,38,47,13,427144.0,19,Arthur,4,120,1
1997-02-19,9,11,19,36,39,41,13,7000000.0,1,Lancelot,3,121,1
