Draw Date,Number_1,Number_2,Number_3,Number_4,Number_5,Number_6,Bonus,Ball Set,Machine,DrawNumber
2015-10-10,2,3,16,32,53,54,8,1,Guinevere,2066
2015-10-14,7,13,20,27,39,52,35,2,Guinevere,2067
2015-10-17,8,30,37,40,46,50,36,4,Arthur,2068
2015-10-21,13,14,21,25,51,53,39,3,Guinevere,2069
2015-10-24,29,31,43,55,58,59,11,1,Arthur,2070
2015-10-28,26,36,41,46,49,52,9,2,Guinevere,2071
2015-10-31,26,39,41,42,55,59,16,4,Arthur,2072
2015-11-04,11,13,18,25,29,47,59,3,Guinevere,2073
2015-11-07,2,3,34,43,49,50,38,1,Arthur,2074
2015-11-11,2,17,27,28,51,52,14,4,Arthur,2075
2015-11-14,2,23,39,54,55,57,11,2,Guinevere,2076
2015-11-18,9,23,30,46,49,55,37,1,Guinevere,2077
2015-11-21,2,8,10,11,32,47,18,2,Guinevere,2078
2015-11-25,18,29,38,41,43,57,8,4,Guinevere,2079
2015-11-28,7,12,20,24,34,52,18,3,Arthur,2080
2015-12-02,9,11,14,28,37,42,12,3,Arthur,2081
2015-12-05,10,11,15,50,51,56,23,3,Arthur,2082
2015-12-09,3,8,14,28,34,53,32,1,Arthur,2083
2015-12-12,15,22,25,40,53,57,23,2,Arthur,2084
2015-12-16,10,12,35,46,48,57,14,4,Guinevere,2085
2015-12-19,13,14,27,46,48,50,42,5,Arthur,2086
2015-12-23,1,2,4,19,28,41,32,7,Arthur,2087
2015-12-26,17,21,31,38,44,58,20,7,Arthur,2088
2015-12-30,22,31,47,52,55,59,23,5,Arthur,2089
2016-01-02,12,25,29,40,48,56,52,8,Arthur,2090
2016-01-06,8,30,40,50,54,57,13,8,Arthur,2091
2016-01-09,26,27,46,47,52,58,48,6,Guinevere,2092
2016-01-13,4,12,38,46,57,59,8,6,Guinevere,2093
2016-01-16,1,8,12,25,43,52,38,6,Guinevere,2094
2016-01-20,18,36,37,38,54,57,14,7,Arthur,2095
2016-01-23,8,9,10,11,41,54,24,5,Guinevere,2096
2016-01-27,8,38,41,42,50,58,24,8,Guinevere,2097
2016-01-30,1,6,21,31,41,44,42,6,Guinevere,2098
2016-02-03,23,25,34,36,37,54,49,8,Guinevere,2099
2016-02-06,10,12,18,34,52,56,50,7,Arthur,2100
2016-02-10,2,13,25,32,37,39,48,6,Arthur,2101
2016-02-13,15,16,23,39,48,59,36,5,Guinevere,2102
2016-02-17,5,15,33,47,51,59,7,7,Arthur,2103
2016-02-20,2,17,35,41,57,59,42,5,Arthur,2104
2016-02-24,4,14,18,19,26,27,25,1,Arthur,2105
2016-02-27,11,14,22,37,53,56,55,2,Arthur,2106
2016-03-02,4,15,21,26,39,58,20,8,Guinevere,2107
2016-03-05,11,19,29,37,40,41,47,3,Arthur,2108
2016-03-09,26,31,35,37,40,49,36,4,Guinevere,2109
2016-03-12,13,21,30,39,51,56,1,2,Guinevere,2110
2016-03-16,13,14,31,42,44,58,1,3,Guinevere,2111
2016-03-19,21,27,31,34,40,54,22,4,Guinevere,2112
2016-03-23,7,14,21,35,41,42,43,3,Arthur,2113
2016-03-26,5,12,43,51,53,57,28,1,Guinevere,2114
2016-03-30,5,13,24,31,40,41,7,4,Guinevere,2115
2016-04-02,7,14,20,33,47,55,15,1,Arthur,2116
2016-04-06,15,17,31,41,50,57,5,1,Arthur,2117
2016-04-09,20,22,25,34,47,51,18,3,Arthur,2118
2016-04-13,13,15,17,19,35,57,21,4,Arthur,2119
2016-04-16,2,5,14,42,51,55,54,2,Arthur,2120
2016-04-20,1,7,9,10,12,31,28,2,Arthur,2121
2016-04-23,2,14,26,35,44,59,24,1,Guinevere,2122
2016-04-27,12,24,29,34,39,57,28,4,Guinevere,2123
2016-04-30,1,2,5,38,53,56,31,2,Guinevere,2124
2016-05-04,1,2,3,4,20,21,22,3,Arthur,2125
2016-05-07,4,14,17,27,34,36,28,6,Guinevere,2126
2016-05-11,13,22,23,33,49,54,53,7,Guinevere,2127
2016-05-14,9,12,23,24,32,51,16,8,Guinevere,2128
2016-05-18,1,3,28,34,37,46,59,7,Guinevere,2129
2016-05-21,6,7,19,28,30,52,46,8,Guinevere,2130
2016-05-25,6,20,33,44,45,55,16,5,Arthur,2131
2016-05-28,8,10,36,40,52,57,59,5,Arthur,2132
2016-06-01,23,27,36,39,41,49,6,6,Guinevere,2133
2016-06-04,7,32,34,48,55,58,30,8,Guinevere,2134
2016-06-08,28,33,43,49,55,58,21,8,Lancelot,2135
2016-06-11,4,17,30,38,47,55,3,7,Merlin,2136
2016-06-15,2,14,19,20,29,38,27,5,Lancelot,2137
2016-06-18,10,17,26,31,35,38,47,7,Merlin,2138
2016-06-22,11,25,36,39,40,57,37,6,Lancelot,2139
2016-06-25,13,14,18,22,24,56,16,5,Lancelot,2140
2016-06-29,10,19,21,45,46,56,2,8,Lancelot,2141
2016-07-02,3,9,16,19,24,43,13,5,Merlin,2142
2016-07-06,1,3,20,24,38,39,4,6,Lancelot,2143
2016-07-09,1,3,22,29,36,42,12,7,Merlin,2144
2016-07-13,1,22,30,34,57,58,51,3,Merlin,2145
2016-07-16,10,14,17,32,36,50,41,1,Lancelot,2146
2016-07-20,18,29,30,37,46,59,23,6,Merlin,2147
2016-07-23,19,20,30,37,54,59,25,2,Merlin,2148
2016-07-27,9,24,26,38,40,46,30,4,Lancelot,2149
2016-07-30,14,26,28,41,51,57,48,2,Merlin,2150
2016-08-03,16,17,22,38,41,55,5,3,Merlin,2151
2016-08-06,34,39,42,47,53,54,8,4,Lancelot,2152
2016-08-10,11,17,35,36,40,59,39,1,Merlin,2153
2016-08-13,12,20,31,39,43,46,38,3,Merlin,2154
2016-08-17,4,15,27,36,37,59,55,1,Merlin,2155
2016-08-20,8,18,26,35,41,52,17,4,Merlin,2156
2016-08-24,4,10,15,37,38,59,1,2,Lancelot,2157
2016-08-27,5,10,22,23,34,54,8,1,Lancelot,2158
2016-08-31,15,16,26,45,47,49,50,2,Merlin,2159
2016-09-03,2,6,17,28,38,55,37,4,Merlin,2160
2016-09-07,3,10,12,29,30,44,11,4,Lancelot,2161
2016-09-10,6,17,37,46,47,51,2,1,Merlin,2162
2016-09-14,16,23,35,42,44,58,28,3,Merlin,2163
2016-09-17,10,14,25,29,52,54,37,3,Merlin,2164
2016-09-21,20,21,28,33,49,56,43,2,Lancelot,2165
2016-09-24,11,24,34,43,44,47,42,6,Merlin,2166
2016-09-28,19,29,37,41,51,53,55,5,Lancelot,2167
2016-10-01,4,5,18,28,43,58,55,8,Merlin,2168
2016-10-05,11,16,25,37,43,44,39,7,Lancelot,2169
2016-10-08,11,17,20,32,40,42,27,6,Merlin,2170
2016-10-12,2,22,29,30,36,58,53,7,Merlin,2171
2016-10-15,14,16,25,42,46,51,53,5,Merlin,2172
2016-10-19,2,3,4,32,54,59,12,8,Lancelot,2173
2016-10-22,9,19,26,27,45,50,23,6,Merlin,2174
2016-10-26,5,11,27,29,52,53,13,5,Merlin,2175
2016-10-29,7,8,16,24,29,58,42,8,Lancelot,2176
2016-11-02,5,14,19,24,31,38,29,7,Merlin,2177
2016-11-05,8,12,16,26,45,49,27,6,Lancelot,2178
2016-11-09,12,13,30,34,39,52,38,8,Lancelot,2179
2016-11-12,3,11,16,31,44,55,8,7,Lancelot,2180
2016-11-16,7,12,33,47,50,51,40,5,Lancelot,2181
2016-11-19,5,7,8,16,28,37,40,7,Merlin,2182
2016-11-23,2,4,8,25,38,39,29,8,Merlin,2183
2016-11-26,1,2,28,40,48,49,17,5,Merlin,2184
2016-11-30,10,20,25,39,45,55,22,7,Lancelot,2185
2016-12-03,3,8,9,19,21,54,31,6,Merlin,2186
2016-12-07,16,27,31,32,44,58,42,6,Lancelot,2187
2016-12-10,11,26,31,32,33,46,20,5,Lancelot,2188
2016-12-14,3,7,8,9,40,58,36,8,Merlin,2189
2016-12-17,2,11,18,32,40,54,8,7,Merlin,2190
2016-12-21,10,13,22,35,42,52,27,6,Lancelot,2191
