draw_number,draw_date,round,tier,category,winners,prize_per_winner
2066,2015-10-10,1,1,Match 6,0,5279697.0
2066,2015-10-10,1,2,Match 5 plus Bonus,1,120570.0
2066,2015-10-10,1,3,Match 5,61,2080.0
2066,2015-10-10,1,4,Match 4,5059,161.0
2066,2015-10-10,1,5,Match 3,136931,25.0
2066,2015-10-10,1,6,Match 2,1519930,0.0
2067,2015-10-14,1,1,Match 6,0,7875986.0
2067,2015-10-14,1,2,Match 5 plus Bonus,2,29645.0
2067,2015-10-14,1,3,Match 5,67,931.0
2067,2015-10-14,1,4,Match 4,4422,91.0
2067,2015-10-14,1,5,Match 3,102008,25.0
2067,2015-10-14,1,6,Match 2,918807,0.0
2068,2015-10-17,1,1,Match 6,0,12110605.0
2068,2015-10-17,1,2,Match 5 plus Bonus,2,54061.0
2068,2015-10-17,1,3,Match 5,56,2032.0
2068,2015-10-17,1,4,Match 4,4482,163.0
2068,2015-10-17,1,5,Match 3,123221,25.0
2068,2015-10-17,1,6,Match 2,1329225,0.0
2069,2015-10-21,1,1,Match 6,1,14612465.0
2069,2015-10-21,1,2,Match 5 plus Bonus,0,0.0
2069,2015-10-21,1,3,Match 5,43,1640.0
2069,2015-10-21,1,4,Match 4,2912,156.0
2069,2015-10-21,1,5,Match 3,80068,25.0
2069,2015-10-21,1,6,Match 2,882110,0.0
2070,2015-10-24,1,1,Match 6,1,4307602.0
2070,2015-10-24,1,2,Match 5 plus Bonus,1,98370.0
2070,2015-10-24,1,3,Match 5,46,2251.0
2070,2015-10-24,1,4,Match 4,3438,194.0
2070,2015-10-24,1,5,Match 3,84257,25.0
2070,2015-10-24,1,6,Match 2,929235,0.0
2071,2015-10-28,1,1,Match 6,0,2319221.0
2071,2015-10-28,1,2,Match 5 plus Bonus,0,0.0
2071,2015-10-28,1,3,Match 5,19,2868.0
2071,2015-10-28,1,4,Match 4,2136,164.0
2071,2015-10-28,1,5,Match 3,52804,25.0
2071,2015-10-28,1,6,Match 2,555688,0.0
2072,2015-10-31,1,1,Match 6,0,6677278.0
2072,2015-10-31,1,2,Match 5 plus Bonus,1,99522.0
2072,2015-10-31,1,3,Match 5,47,2228.0
2072,2015-10-31,1,4,Match 4,3582,188.0
2072,2015-10-31,1,5,Match 3,93588,25.0
2072,2015-10-31,1,6,Match 2,1019127,0.0
2073,2015-11-04,1,1,Match 6,0,8842605.0
2073,2015-11-04,1,2,Match 5 plus Bonus,0,0.0
