draw_date,draw_number,sales_gbp,lines_sold,pct_chg
1994-11-19,1,48965792,48965792,0.0
1994-11-26,2,47943564,47943564,-2.1
1994-12-03,3,48263533,48263533,0.7
1994-12-10,4,61495564,61495564,27.4
1994-12-17,5,54673700,54673700,-11.1
1994-12-24,6,55234642,55234642,1.0
1994-12-31,7,53293047,53293047,-3.5
1995-01-07,8,57529347,57529347,7.9
1995-01-14,9,69846979,69846979,21.4
1995-01-21,10,61157534,61157534,-12.4
1995-01-28,11,61290932,61290932,0.2
1995-02-04,12,62170560,62170560,1.4
1995-02-11,13,61721793,61721793,-0.7
1995-02-18,14,60985534,60985534,-1.2
1995-02-25,15,61301422,61301422,0.5
1995-03-04,16,61302793,61302793,0.0
1995-03-11,17,67688637,67688637,10.4
1995-03-18,18,62479486,62479486,-7.7
1995-03-25,19,62227682,62227682,-0.4
1995-04-01,20,76269508,76269508,22.6
1995-04-08,21,63753399,63753399,-16.4
1995-04-15,22,64128388,64128388,0.6
1995-04-22,23,63309485,63309485,-1.3
1995-04-29,24,74379636,74379636,17.5
1995-05-06,25,62725409,62725409,-15.7
1995-05-13,26,62879549,62879549,0.2
1995-05-20,27,62298146,62298146,-0.9
1995-05-27,28,74771757,74771757,20.0
1995-06-03,29,64826761,64826761,-13.3
1995-06-10,30,72201984,72201984,11.4
1995-06-17,31,66006436,66006436,-8.6
1995-06-24,32,64505245,64505245,-2.3
1995-07-01,33,63881931,63881931,-1.0
1995-07-08,34,73414008,73414008,14.9
1995-07-15,35,65607043,65607043,-10.6
1995-07-22,36,63924721,63924721,-2.6
1995-07-29,37,63812748,63812748,-0.2
1995-08-05,38,63405879,63405879,-0.6
1995-08-12,39,63525142,63525142,0.2
1995-08-19,40,74575649,74575649,17.4
1995-08-26,41,65833755,65833755,-11.7
1995-09-02,42,65050696,65050696,-1.2
1995-09-09,43,64604276,64604276,-0.7
1995-09-16,44,76663008,76663008,18.7
1995-09-23,45,66212779,66212779,-13.6
1995-09-30,46,65805302,65805302,-0.6
1995-10-07,47,65608291,65608291,-0.3
1995-10-14,48,65828800,65828800,0.3
1995-10-21,49,65759630,65759630,-0.1
1995-10-28,50,65944108,65944108,0.3
1995-11-04,51,65551611,65551611,-0.6
1995-11-11,52,65805646,65805646,0.4
1995-11-18,53,66693414,66693414,1.3
1995-11-25,54,65820282,65820282,-1.3
1995-12-02,55,65437794,65437794,-0.6
1995-12-09,56,65060440,65060440,-0.6
1995-12-16,57,64973661,64973661,-0.1
1995-12-23,58,67920715,67920715,4.5
1995-12-30,59,78428855,78428855,15.5
1996-01-06,60,127824795,127824795,63.0
1996-01-13,61,74832559,74832559,-41.5
1996-01-20,62,86753064,86753064,15.9
1996-01-27,63,106159714,106159714,22.4
1996-02-03,64,78125931,78125931,-26.4
1996-02-10,65,75496220,75496220,-3.4
1996-02-17,66,73903189,73903189,-2.1
1996-02-24,67,73962371,73962371,0.1
1996-03-02,68,73026110,73026110,-1.3
1996-03-09,69,70279408,70279408,-3.8
1996-03-16,70,68975891,68975891,-1.9
1996-03-23,71,69251936,69251936,0.4
1996-03-30,72,69098713,69098713,-0.2
1996-04-06,73,79821776,79821776,15.5
1996-04-13,74,69652526,69652526,-12.7
1996-04-20,75,69363752,69363752,-0.4
1996-04-27,76,68877731,68877731,-0.7
1996-05-04,77,79882225,79882225,16.0
1996-05-11,78,70174699,70174699,-12.2
1996-05-18,79,69687983,69687983,-0.7
1996-05-25,80,69781658,69781658,0.1
1996-06-01,81,68733675,68733675,-1.5
1996-06-08,82,67580316,67580316,-1.7
1996-06-15,83,66461361,66461361,-1.7
1996-06-22,84,77736654,77736654,17.0
1996-06-29,85,68626062,68626062,-11.7
1996-07-06,86,68289582,68289582,-0.5
1996-07-13,87,78487718,78487718,14.9
1996-07-20,88,68102609,68102609,-13.2
1996-07-27,89,68196294,68196294,0.1
1996-08-03,90,67828482,67828482,-0.5
1996-08-10,91,67503030,67503030,-0.5
1996-08-17,92,66784509,66784509,-1.1
1996-08-24,93,67864651,67864651,1.6
1996-08-31,94,67640227,67640227,-0.3
1996-09-07,95,67704249,67704249,0.1
1996-09-14,96,67769246,67769246,0.1
1996-09-21,97,68459299,68459299,1.0
1996-09-28,98,68644687,68644687,0.3
1996-10-05,99,68915135,68915135,0.4
1996-10-12,100,70065289,70065289,1.7
1996-10-19,101,69179660,69179660,-1.3
1996-10-26,102,83704409,83704409,21.0
1996-11-02,103,70473976,70473976,-15.8
1996-11-09,104,69982850,69982850,-0.7
1996-11-16,105,83692804,83692804,19.6
1996-11-23,106,71437490,71437490,-14.6
1996-11-30,107,70878270,70878270,-0.8
1996-12-07,108,69971972,69971972,-1.3
1996-12-14,109,69590484,69590484,-0.5
1996-12-21,110,70754021,70754021,1.7
1996-12-28,111,69197766,69197766,-2.2
1997-01-04,112,68852702,68852702,-0.5
1997-01-11,113,69141121,69141121,0.4
1997-01-18,114,69157372,69157372,0.0
1997-01-25,115,68717073,68717073,-0.6
1997-02-01,116,77658065,77658065,13.0
1997-02-05,117,32978341,32978341,-57.5
1997-02-08,118,63799683,63799683,-17.8
1997-02-12,119,29707786,29707786,-9.9
1997-02-15,120,63037350,63037350,-1.2
1997-02-19,121,28494520,28494520,-4.1
1997-02-22,122,62828990,62828990,-0.3
1997-02-26,123,28571270,28571270,0.3
1997-03-01,124,62694583,62694583,-0.2
1997-03-05,125,27717110,27717110,-3.0
1997-03-08,126,61970334,61970334,-1.2
1997-03-12,127,26886315,26886315,-3.0
1997-03-15,128,61364875,61364875,-1.0
1997-03-19,129,26640638,26640638,-0.9
1997-03-22,130,64546216,64546216,5.2
1997-03-26,131,27061405,27061405,1.6
1997-03-29,132,66235413,66235413,2.6
1997-04-02,133,26286073,26286073,-2.9
1997-04-05,134,61149709,61149709,-7.7
1997-04-09,135,25900774,25900774,-1.5
1997-04-12,136,59959500,59959500,-1.9
1997-04-16,137,25712829,25712829,-0.7
1997-04-19,138,60080178,60080178,0.2
1997-04-23,139,25715330,25715330,0.0
1997-04-26,140,60018699,60018699,-0.1
1997-04-30,141,25339461,25339461,-1.5
1997-05-03,142,59240714,59240714,-1.3
1997-05-07,143,25317531,25317531,-0.1
